,Pais,Estatus,Esperanza de vida,Muerte infantil,Consumo alcohol,PIB,Poblacion,Desnutrición infantil,Escolaridad
0,Rwanda,Developing,65.7,12,0.01,76.5699517,11345357.0,5.8,10.8
1,Jordan,Developing,74.0,4,0.41,466.94775,88936.0,3.9,13.1
2,Ethiopia,Developing,64.2,140,0.01,571.1622759,97366774.0,1.3,8.4
3,Tonga,Developing,73.3,0,0.01,4192.349758,15782.0,0.1,14.3
4,Belarus,Developing,72.0,0,13.94,8318.429294,9474511.0,2.0,15.7
5,Croatia,Developed,77.8,0,12.14,13467.46827,4238389.0,1.5,15.1
6,India,Developing,68.0,957,3.07,1573.11889,1293859294.0,27.4,11.6
7,Fiji,Developing,69.7,0,0.01,546.3728,88586.0,3.7,15.2
8,Comoros,Developing,63.2,1,0.01,852.954379,759385.0,6.6,11.1
9,Benin,Developing,59.7,25,0.01,943.686575,1286712.0,6.9,10.7
10,Peru,Developing,75.3,8,0.01,6491.5245,3973354.0,1.1,13.4
11,Mexico,Developing,76.6,31,5.26,1452.27766,1242216.0,1.5,13.1
12,Malawi,Developing,57.6,27,0.01,354.7253961,1768838.0,6.3,10.7
13,Georgia,Developing,74.5,1,6.13,4429.6575,3727.0,2.8,13.5
14,Zambia,Developing,61.1,28,0.01,1738.8822,1562974.0,6.2,12.5
15,Indonesia,Developing,68.9,119,0.09,3491.595887,255131116.0,1.2,12.9
16,Lebanon,Developing,74.8,1,1.32,8161.4614,563279.0,4.9,13.3
17,Uganda,Developing,61.5,68,0.01,719.172669,38833338.0,5.6,10.0
18,Romania,Developed,74.8,2,0.01,12.27733,1998979.0,2.8,14.7
19,Trinidad and Tobago,Developing,71.1,0,6.94,19325.24283,1354493.0,6.0,12.7
20,Iraq,Developing,67.9,32,0.01,673.74737,3568.0,5.1,10.1
21,Turkey,Developing,75.5,16,1.45,12127.22522,773628.0,4.7,14.5
22,Colombia,Developing,74.6,11,4.38,7913.383432,47791911.0,1.9,13.6
23,Israel,Developing,82.2,1,2.62,37582.84624,82157.0,1.1,16.0
24,Panama,Developing,77.6,1,6.74,12593.7374,393986.0,1.8,13.0
25,Maldives,Developing,78.2,0,0.01,7716.2415,41.0,13.7,12.7
26,Sao Tome and Principe,Developing,67.3,0,0.01,1821.878734,191266.0,5.4,11.1
27,Armenia,Developing,74.6,1,3.91,3994.712355,29622.0,2.1,12.7
28,Chad,Developing,52.6,46,0.01,125.998515,13569438.0,8.5,7.3
29,Russian Federation,Developing,73.0,13,10.12,14125.961,143819666.0,2.3,14.9
30,Madagascar,Developing,65.1,29,0.01,452.4631926,2358981.0,7.1,10.3
31,Canada,Developing,82.0,2,8.1,544.43376,35544564.0,0.5,15.9
32,Pakistan,Developing,66.2,359,0.01,1316.98966,185546257.0,19.8,7.8
33,Timor-Leste,Developing,68.0,2,0.01,1153.51578,1212814.0,11.1,12.5
34,Bangladesh,Developing,71.4,98,0.01,184.56543,15945279.0,18.6,10.0
35,Serbia,Developing,75.4,1,9.09,62.173221,713576.0,2.1,14.3
36,Latvia,Developed,74.4,0,0.01,15725.1374,1993782.0,2.2,16.0
37,Guinea,Developing,58.1,27,0.01,561.997387,118559.0,7.4,8.6
38,Netherlands,Developed,81.7,1,0.01,52157.4687,168658.0,0.9,18.1
39,Germany,Developed,89.0,2,11.03,4792.65288,89825.0,1.1,17.0
